oid	old_art	new_art	pm_seq	pm_nmarks	jaccard	category	cite
16622	13	0	OK	39	0.861	ACCEPT_PM	2015 ND 282
16672	12	0	OK	45	0.879	ACCEPT_PM	2016 ND 45
16648	9	0	OK	82	0.906	ACCEPT_PM	2016 ND 8
16757	9	0	OK	51	0.933	ACCEPT_PM	2016 ND 145
16638	8	0	OK	38	0.885	ACCEPT_PM	2015 ND 303
16670	8	0	OK	37	0.726	ACCEPT_PM	2016 ND 43
16675	8	0	OK	25	0.842	ACCEPT_PM	2016 ND 58
16679	8	0	OK	25	0.851	ACCEPT_PM	2016 ND 57
16685	8	0	OK	29	0.854	ACCEPT_PM	2016 ND 73
16686	8	0	OK	19	0.934	ACCEPT_PM	2016 ND 72
16755	8	0	OK	46	0.924	ACCEPT_PM	2016 ND 144
16773	8	0	OK	67	0.913	ACCEPT_PM	2016 ND 160
16639	7	0	OK	44	0.939	ACCEPT_PM	2016 ND 1
16645	7	0	OK	17	0.851	ACCEPT_PM	2016 ND 12
16698	7	0	OK	46	0.873	ACCEPT_PM	2016 ND 60
14454	6	0	OK	49	0.924	ACCEPT_PM	2006 ND 36
16656	6	0	OK	36	0.853	ACCEPT_PM	2016 ND 40
16659	6	0	OK	29	0.845	ACCEPT_PM	2016 ND 30
16764	6	0	OK	32	0.883	ACCEPT_PM	2016 ND 87
16779	6	0	OK	29	0.923	ACCEPT_PM	2016 ND 170
14272	5	0	OK	43	0.896	ACCEPT_PM	2005 ND 120
15801	5	0	OK	19	0.877	ACCEPT_PM	2012 ND 39
16063	5	0	OK	44	0.869	ACCEPT_PM	2013 ND 97
16440	5	0	OK	101	0.947	ACCEPT_PM	2015 ND 57
16601	5	0	OK	31	0.936	ACCEPT_PM	2015 ND 247
16653	5	0	OK	46	0.915	ACCEPT_PM	2016 ND 20
16657	5	0	OK	49	0.905	ACCEPT_PM	2016 ND 28
16678	5	0	OK	10	0.809	ACCEPT_PM	2016 ND 63
16683	5	0	OK	18	0.867	ACCEPT_PM	2016 ND 70
16756	5	0	OK	28	0.849	ACCEPT_PM	2016 ND 154
16765	5	0	OK	31	0.875	ACCEPT_PM	2016 ND 148
16780	5	0	OK	38	0.915	ACCEPT_PM	2016 ND 172
16798	5	0	OK	19	0.892	ACCEPT_PM	2016 ND 197
17084	5	0	OK	33	0.877	ACCEPT_PM	2017 ND 240
13215	4	0	OK	61	0.876	ACCEPT_PM	2000 ND 154
13603	4	0	OK	41	0.855	ACCEPT_PM	2002 ND 121
14258	4	0	OK	30	0.868	ACCEPT_PM	2005 ND 105
16604	4	0	OK	15	0.847	ACCEPT_PM	2015 ND 250
16623	4	0	OK	43	0.854	ACCEPT_PM	2015 ND 285
16630	4	0	OK	20	0.838	ACCEPT_PM	2015 ND 299
16687	4	0	OK	21	0.843	ACCEPT_PM	2016 ND 66
16691	4	0	OK	16	0.868	ACCEPT_PM	2016 ND 62
16714	4	0	OK	72	0.935	ACCEPT_PM	2016 ND 104
16729	4	0	OK	24	0.872	ACCEPT_PM	2016 ND 106
16732	4	0	OK	33	0.861	ACCEPT_PM	2016 ND 113
16733	4	0	OK	27	0.883	ACCEPT_PM	2016 ND 114
16743	4	0	OK	18	0.847	ACCEPT_PM	2016 ND 139
16744	4	0	OK	19	0.846	ACCEPT_PM	2016 ND 116
16768	4	0	OK	22	0.831	ACCEPT_PM	2016 ND 158
16782	4	0	OK	14	0.797	ACCEPT_PM	2016 ND 173
16784	4	0	OK	30	0.931	ACCEPT_PM	2016 ND 175
16807	4	0	OK	63	0.928	ACCEPT_PM	2016 ND 215
17075	4	0	OK	17	0.874	ACCEPT_PM	2017 ND 245
17078	4	0	OK	36	0.919	ACCEPT_PM	2017 ND 242
12590	3	0	OK	19	0.828	ACCEPT_PM	1998 ND 37
12691	3	0	OK	30	0.869	ACCEPT_PM	1998 ND 116
12714	3	0	OK	31	0.837	ACCEPT_PM	1998 ND 135
12715	3	0	OK	40	0.842	ACCEPT_PM	1998 ND 133
13086	3	0	OK	26	0.901	ACCEPT_PM	2000 ND 26
13192	3	0	OK	22	0.898	ACCEPT_PM	2000 ND 132
13225	3	0	OK	30	0.859	ACCEPT_PM	2000 ND 151
13240	3	0	OK	166	0.914	ACCEPT_PM	2000 ND 170
13439	3	0	OK	36	0.889	ACCEPT_PM	2001 ND 148
13615	3	0	OK	33	0.841	ACCEPT_PM	2002 ND 136
13994	3	0	OK	36	0.9	ACCEPT_PM	2004 ND 77
14063	3	0	OK	37	0.877	ACCEPT_PM	2004 ND 127
14098	3	0	OK	18	0.85	ACCEPT_PM	2004 ND 167
14101	3	0	OK	39	0.894	ACCEPT_PM	2004 ND 174
14173	3	0	OK	30	0.875	ACCEPT_PM	2005 ND 22
14253	3	0	OK	13	0.815	ACCEPT_PM	2005 ND 107
14685	3	0	OK	48	0.897	ACCEPT_PM	2007 ND 9
15864	3	0	OK	67	0.927	ACCEPT_PM	2012 ND 123
16037	3	0	OK	40	0.892	ACCEPT_PM	2013 ND 71
16416	3	0	OK	24	0.893	ACCEPT_PM	2015 ND 39
16597	3	0	OK	19	0.886	ACCEPT_PM	2015 ND 233
16606	3	0	OK	19	0.868	ACCEPT_PM	2015 ND 255
16609	3	0	OK	14	0.823	ACCEPT_PM	2015 ND 272
16619	3	0	OK	32	0.889	ACCEPT_PM	2015 ND 270
16625	3	0	OK	25	0.86	ACCEPT_PM	2015 ND 287
16636	3	0	OK	36	0.858	ACCEPT_PM	2015 ND 302
16651	3	0	OK	30	0.873	ACCEPT_PM	2016 ND 19
16658	3	0	OK	19	0.816	ACCEPT_PM	2016 ND 37
16664	3	0	OK	15	0.913	ACCEPT_PM	2016 ND 31
16681	3	0	OK	24	0.845	ACCEPT_PM	2016 ND 69
16690	3	0	OK	13	0.804	ACCEPT_PM	2016 ND 64
16684	3	0	OK	16	0.868	ACCEPT_PM	2016 ND 71
16695	3	0	OK	33	0.844	ACCEPT_PM	2016 ND 77
16700	3	0	OK	36	0.824	ACCEPT_PM	2016 ND 76
16699	3	0	OK	30	0.855	ACCEPT_PM	2016 ND 84
16706	3	0	OK	23	0.894	ACCEPT_PM	2016 ND 96
16707	3	0	OK	28	0.891	ACCEPT_PM	2016 ND 102
16731	3	0	OK	20	0.845	ACCEPT_PM	2016 ND 111
16751	3	0	OK	16	0.85	ACCEPT_PM	2016 ND 142
16777	3	0	OK	29	0.866	ACCEPT_PM	2016 ND 168
16791	3	0	OK	34	0.883	ACCEPT_PM	2016 ND 187
16799	3	0	OK	16	0.867	ACCEPT_PM	2016 ND 210
16810	3	0	OK	20	0.892	ACCEPT_PM	2016 ND 229
16811	3	0	OK	32	0.843	ACCEPT_PM	2016 ND 231
16816	3	0	OK	21	0.895	ACCEPT_PM	2016 ND 225
16819	3	0	OK	19	0.843	ACCEPT_PM	2016 ND 249
16824	3	0	OK	33	0.9	ACCEPT_PM	2016 ND 246
17024	3	0	OK	30	0.915	ACCEPT_PM	2017 ND 205
17067	3	0	OK	32	0.873	ACCEPT_PM	2017 ND 231
17050	3	0	OK	23	0.875	ACCEPT_PM	2017 ND 251
17074	3	0	OK	23	0.895	ACCEPT_PM	2017 ND 254
17066	3	0	OK	34	0.854	ACCEPT_PM	2017 ND 263
17077	3	0	OK	24	0.857	ACCEPT_PM	2017 ND 269
17082	3	0	OK	16	0.883	ACCEPT_PM	2017 ND 271
17086	3	0	OK	37	0.927	ACCEPT_PM	2017 ND 282
12553	2	0	GAPS	30	0.807	NEEDS_MARKER	1997 ND 207
12554	2	0	OK	21	0.674	ACCEPT_PM	1997 ND 212
12613	2	0	OK	41	0.868	ACCEPT_PM	1998 ND 42
12727	2	0	OK	26	0.779	ACCEPT_PM	1998 ND 144
12750	2	0	OK	33	0.888	ACCEPT_PM	1998 ND 157
12846	2	0	OK	32	0.876	ACCEPT_PM	1999 ND 50
12906	2	0	OK	20	0.9	ACCEPT_PM	1999 ND 102
12907	2	0	OK	21	0.824	ACCEPT_PM	1999 ND 115
12915	2	0	OK	49	0.914	ACCEPT_PM	1999 ND 118
13017	2	0	OK	27	0.865	ACCEPT_PM	1999 ND 200
13027	2	0	OK	33	0.895	ACCEPT_PM	1999 ND 223
13028	2	0	OK	13	0.843	ACCEPT_PM	1999 ND 217
13049	2	0	OK	46	0.517	ACCEPT_PM	1999 ND 226
13078	2	0	OK	10	0.788	ACCEPT_PM	2000 ND 27
13081	2	0	OK	31	0.875	ACCEPT_PM	2000 ND 20
13082	2	0	OK	41	0.887	ACCEPT_PM	2000 ND 33
13117	2	0	OK	44	0.882	ACCEPT_PM	2000 ND 61
13155	2	0	OK	24	0.84	ACCEPT_PM	2000 ND 95
13167	2	0	OK	17	0.876	ACCEPT_PM	2000 ND 109
13170	2	0	OK	18	0.87	ACCEPT_PM	2000 ND 105
13172	2	0	OK	58	0.926	ACCEPT_PM	2000 ND 113
13184	2	0	OK	32	0.835	ACCEPT_PM	2000 ND 123
13210	2	0	OK	32	0.869	ACCEPT_PM	2000 ND 148
13220	2	0	OK	13	0.815	ACCEPT_PM	2000 ND 155
13312	2	0	OK	28	0.884	ACCEPT_PM	2001 ND 34
13348	2	0	OK	40	0.894	ACCEPT_PM	2001 ND 66
13437	2	0	OK	32	0.899	ACCEPT_PM	2001 ND 152
13462	2	0	OK	28	0.88	ACCEPT_PM	2001 ND 192
13517	2	0	OK	18	0.791	ACCEPT_PM	2002 ND 26
13534	2	0	OK	57	0.898	ACCEPT_PM	2002 ND 37
13579	2	0	OK	32	0.899	ACCEPT_PM	2002 ND 80
13639	2	0	OK	37	0.908	ACCEPT_PM	2002 ND 138
13640	2	0	OK	48	0.898	ACCEPT_PM	2002 ND 139
13648	2	0	OK	28	0.907	ACCEPT_PM	2002 ND 144
13680	2	0	OK	36	0.894	ACCEPT_PM	2002 ND 185
13711	2	0	OK	10	0.752	ACCEPT_PM	2003 ND 5
13798	2	0	OK	35	0.892	ACCEPT_PM	2003 ND 68
13831	2	0	OK	26	0.892	ACCEPT_PM	2003 ND 119
13847	2	0	OK	26	0.875	ACCEPT_PM	2003 ND 128
13854	2	0	OK	38	0.873	ACCEPT_PM	2003 ND 132
13892	2	0	OK	36	0.863	ACCEPT_PM	2003 ND 164
13941	2	0	OK	59	0.911	ACCEPT_PM	2004 ND 15
13942	2	0	OK	36	0.88	ACCEPT_PM	2004 ND 14
13951	2	0	OK	27	0.859	ACCEPT_PM	2004 ND 25
13954	2	0	OK	11	0.814	ACCEPT_PM	2004 ND 28
13984	2	0	OK	36	0.852	ACCEPT_PM	2004 ND 47
13996	2	0	OK	29	0.913	ACCEPT_PM	2004 ND 82
14045	2	0	OK	20	0.875	ACCEPT_PM	2004 ND 119
14053	2	0	OK	46	0.932	ACCEPT_PM	2004 ND 126
14067	2	0	OK	23	0.887	ACCEPT_PM	2004 ND 132
14100	2	0	OK	49	0.885	ACCEPT_PM	2004 ND 173
14202	2	0	OK	26	0.886	ACCEPT_PM	2005 ND 41
14198	2	0	OK	21	0.827	ACCEPT_PM	2005 ND 54
14208	2	0	OK	39	0.896	ACCEPT_PM	2005 ND 47
14237	2	0	OK	19	0.887	ACCEPT_PM	2005 ND 84
14251	2	0	OK	20	0.89	ACCEPT_PM	2005 ND 98
14252	2	0	OK	19	0.867	ACCEPT_PM	2005 ND 102
14254	2	0	OK	40	0.866	ACCEPT_PM	2005 ND 104
14259	2	0	OK	28	0.89	ACCEPT_PM	2005 ND 103
14273	2	0	OK	22	0.879	ACCEPT_PM	2005 ND 112
14348	2	0	OK	24	0.89	ACCEPT_PM	2005 ND 171
14408	2	0	OK	44	0.878	ACCEPT_PM	2006 ND 10
14473	2	0	OK	18	0.851	ACCEPT_PM	2006 ND 68
14493	2	0	OK	31	0.897	ACCEPT_PM	2006 ND 82
14530	2	0	OK	35	0.905	ACCEPT_PM	2006 ND 118
14684	2	0	OK	24	0.926	ACCEPT_PM	2007 ND 8
14688	2	0	OK	24	0.886	ACCEPT_PM	2007 ND 15
14809	2	0	OK	26	0.886	ACCEPT_PM	2007 ND 143
14810	2	0	OK	23	0.915	ACCEPT_PM	2007 ND 147
14842	2	0	OK	24	0.897	ACCEPT_PM	2007 ND 164
14841	2	0	OK	62	0.917	ACCEPT_PM	2007 ND 179
15254	2	0	OK	19	0.875	ACCEPT_PM	2009 ND 146
15279	2	0	OK	31	0.932	ACCEPT_PM	2009 ND 163
15512	2	0	OK	28	0.87	ACCEPT_PM	2010 ND 198
15789	2	0	OK	20	0.86	ACCEPT_PM	2011 ND 215
15800	2	0	OK	25	0.862	ACCEPT_PM	2012 ND 34
15875	2	0	OK	17	0.867	ACCEPT_PM	2012 ND 142
15941	2	0	OK	41	0.906	ACCEPT_PM	2012 ND 197
16015	2	0	OK	12	0.777	ACCEPT_PM	2013 ND 55
16041	2	0	OK	32	0.831	ACCEPT_PM	2013 ND 68
16121	2	0	OK	63	0.922	ACCEPT_PM	2013 ND 174
16182	2	0	OK	38	0.907	ACCEPT_PM	2013 ND 235
16268	2	0	OK	49	0.904	ACCEPT_PM	2014 ND 95
16271	2	0	OK	29	0.884	ACCEPT_PM	2014 ND 104
16276	2	0	OK	87	0.874	ACCEPT_PM	2014 ND 101
16292	2	0	OK	46	0.944	ACCEPT_PM	2014 ND 123
16299	2	0	OK	31	0.917	ACCEPT_PM	2014 ND 146
16346	2	0	OK	52	0.94	ACCEPT_PM	2014 ND 168
16398	2	0	OK	23	0.84	ACCEPT_PM	2015 ND 14
16419	2	0	OK	24	0.892	ACCEPT_PM	2015 ND 44
16497	2	0	OK	55	0.943	ACCEPT_PM	2015 ND 118
16553	2	0	OK	36	0.938	ACCEPT_PM	2015 ND 205
16565	2	0	OK	37	0.878	ACCEPT_PM	2015 ND 216
16567	2	0	OK	25	0.886	ACCEPT_PM	2015 ND 220
16576	2	0	OK	31	0.887	ACCEPT_PM	2015 ND 228
16612	2	0	OK	32	0.866	ACCEPT_PM	2015 ND 268
16613	2	0	OK	15	0.835	ACCEPT_PM	2015 ND 274
16615	2	0	OK	29	0.87	ACCEPT_PM	2015 ND 275
16617	2	0	OK	16	0.868	ACCEPT_PM	2015 ND 278
16635	2	0	OK	17	0.825	ACCEPT_PM	2015 ND 297
16641	2	0	OK	14	0.863	ACCEPT_PM	2016 ND 11
16650	2	0	OK	22	0.872	ACCEPT_PM	2016 ND 18
16660	2	0	OK	32	0.896	ACCEPT_PM	2016 ND 32
16665	2	0	OK	23	0.861	ACCEPT_PM	2016 ND 39
16666	2	0	OK	20	0.804	ACCEPT_PM	2016 ND 41
16667	2	0	OK	9	0.851	ACCEPT_PM	2016 ND 38
16668	2	0	OK	19	0.857	ACCEPT_PM	2016 ND 42
16671	2	0	OK	11	0.732	ACCEPT_PM	2016 ND 35
16676	2	0	OK	31	0.909	ACCEPT_PM	2016 ND 53
16677	2	0	OK	15	0.812	ACCEPT_PM	2016 ND 68
16688	2	0	OK	25	0.91	ACCEPT_PM	2016 ND 61
16689	2	0	OK	19	0.882	ACCEPT_PM	2016 ND 65
16692	2	0	OK	29	0.877	ACCEPT_PM	2016 ND 67
16703	2	0	OK	22	0.883	ACCEPT_PM	2016 ND 81
16709	2	0	OK	37	0.838	ACCEPT_PM	2016 ND 95
16711	2	0	OK	18	0.829	ACCEPT_PM	2016 ND 93
16713	2	0	OK	20	0.851	ACCEPT_PM	2016 ND 90
16730	2	0	OK	20	0.866	ACCEPT_PM	2016 ND 110
16735	2	0	OK	13	0.819	ACCEPT_PM	2016 ND 129
16738	2	0	OK	18	0.853	ACCEPT_PM	2016 ND 138
16754	2	0	OK	20	0.887	ACCEPT_PM	2016 ND 152
16759	2	0	OK	19	0.855	ACCEPT_PM	2016 ND 150
16760	2	0	OK	18	0.827	ACCEPT_PM	2016 ND 149
16776	2	0	OK	14	0.814	ACCEPT_PM	2016 ND 167
16778	2	0	OK	27	0.842	ACCEPT_PM	2016 ND 169
16785	2	0	OK	30	0.86	ACCEPT_PM	2016 ND 176
16796	2	0	OK	14	0.822	ACCEPT_PM	2016 ND 190
16797	2	0	OK	29	0.923	ACCEPT_PM	2016 ND 194
16805	2	0	OK	22	0.902	ACCEPT_PM	2016 ND 192
16806	2	0	OK	19	0.842	ACCEPT_PM	2016 ND 213
16809	2	0	OK	9	0.795	ACCEPT_PM	2016 ND 230
16814	2	0	OK	39	0.854	ACCEPT_PM	2016 ND 234
16815	2	0	OK	25	0.856	ACCEPT_PM	2016 ND 253
16820	2	0	OK	16	0.942	ACCEPT_PM	2016 ND 251
16823	2	0	OK	22	0.868	ACCEPT_PM	2016 ND 247
16827	2	0	OK	41	0.945	ACCEPT_PM	2016 ND 240
16860	2	0	OK	42	0.891	ACCEPT_PM	2017 ND 34
16871	2	0	OK	28	0.901	ACCEPT_PM	2017 ND 49
16973	2	0	OK	31	0.931	ACCEPT_PM	2017 ND 176
16985	2	0	OK	34	0.912	ACCEPT_PM	2017 ND 174
16997	2	0	OK	34	0.933	ACCEPT_PM	2017 ND 186
17025	2	0	OK	21	0.885	ACCEPT_PM	2017 ND 213
17026	2	0	OK	19	0.784	ACCEPT_PM	2017 ND 207
17027	2	0	OK	26	0.898	ACCEPT_PM	2017 ND 211
17038	2	0	OK	11	0.772	ACCEPT_PM	2017 ND 230
17053	2	0	OK	23	0.921	ACCEPT_PM	2017 ND 241
17083	2	0	OK	12	0.856	ACCEPT_PM	2017 ND 248
17081	2	0	OK	14	0.887	ACCEPT_PM	2017 ND 267
17089	2	0	OK	59	0.946	ACCEPT_PM	2017 ND 284
17105	2	0	OK	18	0.881	ACCEPT_PM	2017 ND 291
12410	1	0	NONE	0	0.0	REVIEW	1997 ND 58
12460	1	0	OK	46	0.917	ACCEPT_PM	1997 ND 110
12536	1	0	NONE	0	0.772	ACCEPT_PM	1997 ND 170
12530	1	0	OK	20	0.863	ACCEPT_PM	1997 ND 192
12535	1	0	OK	22	0.854	ACCEPT_PM	1997 ND 187
12540	1	0	OK	19	0.882	ACCEPT_PM	1997 ND 197
12541	1	0	OK	12	0.832	ACCEPT_PM	1997 ND 210
12556	1	0	GAPS	31	0.782	NEEDS_MARKER	1997 ND 213
12564	1	0	OK	68	0.881	ACCEPT_PM	1997 ND 205
12572	1	0	GAPS	30	0.86	NEEDS_MARKER	1997 ND 228
12582	1	0	OK	26	0.845	ACCEPT_PM	1997 ND 238
12586	1	0	OK	28	0.864	ACCEPT_PM	1998 ND 8
12591	1	0	OK	22	0.858	ACCEPT_PM	1998 ND 9
12594	1	0	OK	31	0.879	ACCEPT_PM	1998 ND 5
12605	1	0	GAPS	32	0.823	NEEDS_MARKER	1998 ND 17
12606	1	0	OK	12	0.82	ACCEPT_PM	1998 ND 19
12608	1	0	GAPS	50	0.865	NEEDS_MARKER	1998 ND 24
12589	1	0	OK	39	0.891	ACCEPT_PM	1998 ND 25
12614	1	0	OK	30	0.875	ACCEPT_PM	1998 ND 51
12615	1	0	OK	16	0.823	ACCEPT_PM	1998 ND 49
12617	1	0	GAPS	32	0.855	NEEDS_MARKER	1998 ND 45
12619	1	0	OK	14	0.842	ACCEPT_PM	1998 ND 54
12634	1	0	OK	62	0.859	ACCEPT_PM	1998 ND 46
12642	1	0	OK	20	0.798	ACCEPT_PM	1998 ND 61
12647	1	0	OK	27	0.867	ACCEPT_PM	1998 ND 71
12654	1	0	OK	31	0.842	ACCEPT_PM	1998 ND 76
12661	1	0	OK	18	0.871	ACCEPT_PM	1998 ND 86
12671	1	0	OK	30	0.882	ACCEPT_PM	1998 ND 103
12684	1	0	OK	59	0.874	ACCEPT_PM	1998 ND 121
12690	1	0	OK	40	0.869	ACCEPT_PM	1998 ND 118
12692	1	0	OK	37	0.857	ACCEPT_PM	1998 ND 109
12708	1	0	OK	15	0.841	ACCEPT_PM	1998 ND 123
12716	1	0	OK	47	0.894	ACCEPT_PM	1998 ND 128
12718	1	0	OK	21	0.855	ACCEPT_PM	1998 ND 131
12724	1	0	OK	24	0.644	ACCEPT_PM	1998 ND 140
12731	1	0	OK	20	0.837	ACCEPT_PM	1998 ND 152
12733	1	0	OK	32	0.858	ACCEPT_PM	1998 ND 151
12736	1	0	GAPS	30	0.036	NEEDS_MARKER	1998 ND 153
12737	1	0	OK	24	0.864	ACCEPT_PM	1998 ND 149
12740	1	0	OK	26	0.8	ACCEPT_PM	1998 ND 158
12759	1	0	OK	57	0.891	ACCEPT_PM	1998 ND 169
12765	1	0	OK	21	0.883	ACCEPT_PM	1998 ND 164
12758	1	0	OK	23	0.833	ACCEPT_PM	1998 ND 175
12761	1	0	OK	24	0.886	ACCEPT_PM	1998 ND 177
12767	1	0	OK	18	0.865	ACCEPT_PM	1998 ND 190
12775	1	0	OK	15	0.817	ACCEPT_PM	1998 ND 199
12792	1	0	OK	16	0.858	ACCEPT_PM	1998 ND 219
